"","hospital","id","category","procedures","deaths","mort_rate","mort_rate_overall","EMR","total_procedures","overall_deaths","cat1","cat2","cat3","cat4","cat5","Overall_procedures","prop_5","prop_4","prop_45","teaching","trauma_level","helipad","ped_trauma","ped_trauma_level","nbeds","npediatricbeds","nbassinets","rural","nicu","nicu_level","top50_ped_anyspecialty","top50_ped_cardio","rank_ped_cardio","top50_ped_pulm","rank_ped_pulm","hosp_index","cluster_kmeans","cluster_pop"
"1","Advocate Children's Hospital",1548375082,"Category 1",319,1,0.00313479623824451,0.016366612111293,0.004,1222,20,319,436,176,231,60,1222,0.0490998363338789,0.189034369885434,0.238134206219313,1,1,1,0,0,409,259,150,0,1,3,1,1,25,0,NA,1,"3","2"
"2","Advocate Children's Hospital",1548375082,"Category 2",436,5,0.0114678899082569,0.016366612111293,0.012,1222,20,319,436,176,231,60,1222,0.0490998363338789,0.189034369885434,0.238134206219313,1,1,1,0,0,409,259,150,0,1,3,1,1,25,0,NA,1,"3","2"
"3","Advocate Children's Hospital",1548375082,"Category 3",176,2,0.0113636363636364,0.016366612111293,0.02,1222,20,319,436,176,231,60,1222,0.0490998363338789,0.189034369885434,0.238134206219313,1,1,1,0,0,409,259,150,0,1,3,1,1,25,0,NA,1,"3","2"
"4","Advocate Children's Hospital",1548375082,"Category 4",231,7,0.0303030303030303,0.016366612111293,0.058,1222,20,319,436,176,231,60,1222,0.0490998363338789,0.189034369885434,0.238134206219313,1,1,1,0,0,409,259,150,0,1,3,1,1,25,0,NA,1,"3","2"
"5","Advocate Children's Hospital",1548375082,"Category 5",60,5,0.0833333333333333,0.016366612111293,0.136,1222,20,319,436,176,231,60,1222,0.0490998363338789,0.189034369885434,0.238134206219313,1,1,1,0,0,409,259,150,0,1,3,1,1,25,0,NA,1,"3","2"
"6","Akron Children's Hospital",1861506560,"Category 1",162,0,0,0.0212765957446809,0.003,376,8,162,107,42,54,11,376,0.0292553191489362,0.143617021276596,0.172872340425532,1,2,1,1,2,289,289,59,0,1,3,1,0,1,0,NA,2,"1","1"
"7","Akron Children's Hospital",1861506560,"Category 2",107,1,0.00934579439252336,0.0212765957446809,0.01,376,8,162,107,42,54,11,376,0.0292553191489362,0.143617021276596,0.172872340425532,1,2,1,1,2,289,289,59,0,1,3,1,0,1,0,NA,2,"1","1"
"8","Akron Children's Hospital",1861506560,"Category 3",42,2,0.0476190476190476,0.0212765957446809,0.016,376,8,162,107,42,54,11,376,0.0292553191489362,0.143617021276596,0.172872340425532,1,2,1,1,2,289,289,59,0,1,3,1,0,1,0,NA,2,"1","1"
"9","Akron Children's Hospital",1861506560,"Category 4",54,4,0.0740740740740741,0.0212765957446809,0.045,376,8,162,107,42,54,11,376,0.0292553191489362,0.143617021276596,0.172872340425532,1,2,1,1,2,289,289,59,0,1,3,1,0,1,0,NA,2,"1","1"
"10","Akron Children's Hospital",1861506560,"Category 5",11,1,0.0909090909090909,0.0212765957446809,0.103,376,8,162,107,42,54,11,376,0.0292553191489362,0.143617021276596,0.172872340425532,1,2,1,1,2,289,289,59,0,1,3,1,0,1,0,NA,2,"1","1"
